패치,라인,챔피언(한국어),챔피언(영어),챔피언ID,라인내순위,전체순위,순위변동,전체순위변동,티어,OP픽,꿀픽,게임수,픽률(%),밴률(%),승률(%),OP점수,꿀픽점수,업데이트시각
26.14,탑,잭스,Jax,24,1,8,0,0,S,False,False,2974,6.95,18.37,50.03,55.71,3.34,2026-07-23T07:26:18.000Z
26.14,탑,갱플랭크,Gangplank,41,2,9,1,0,S,False,False,2962,6.92,12.95,50.51,55.45,6.94,2026-07-23T07:26:18.000Z
26.14,탑,베인,Vayne,67,3,13,2,0,S,False,False,3011,7.03,13.27,50.58,55.21,7.58,2026-07-23T07:26:19.000Z
26.14,탑,요네,Yone,777,4,21,6,0,S,False,False,3921,9.16,7.08,50.27,54.47,6.09,2026-07-23T07:26:18.000Z
26.14,탑,크산테,K'Sante,897,5,23,14,0,S,False,False,3723,8.70,6.67,49.88,54.39,2.36,2026-07-23T07:26:18.000Z
26.14,탑,피오라,Fiora,114,6,26,-2,0,S,False,False,1885,4.40,7.87,52.41,54.09,13.22,2026-07-23T07:26:19.000Z
26.14,탑,이렐리아,Irelia,39,7,27,-1,0,S,False,False,2236,5.22,19.02,49.64,53.99,0.10,2026-07-23T07:26:19.000Z
26.14,탑,제이스,Jayce,126,8,33,-6,0,A,False,False,4902,11.45,30.15,47.53,53.54,-29.31,2026-07-23T07:26:18.000Z
26.14,탑,레넥톤,Renekton,58,9,37,20,0,A,False,False,2425,5.66,4.87,50.23,53.12,3.56,2026-07-23T07:26:18.000Z
26.14,탑,올라프,Olaf,2,10,42,-1,0,A,False,False,1887,4.41,4.29,51.25,52.65,7.40,2026-07-23T07:26:20.000Z
26.14,탑,말파이트,Malphite,54,11,45,0,0,A,False,False,2023,4.72,7.78,49.63,52.50,0.02,2026-07-23T07:26:20.000Z
26.14,탑,암베사,Ambessa,799,12,46,-5,0,A,False,False,4211,9.84,5.85,48.52,52.46,-11.42,2026-07-23T07:26:20.000Z
26.14,탑,로크,Locke,805,13,67,33,0,A,False,False,466,1.09,82.04,51.72,51.48,2.45,2026-07-23T07:26:17.000Z
26.14,탑,신지드,Singed,27,14,69,2,0,A,False,False,1095,2.56,1.42,53.42,51.45,9.79,2026-07-23T07:26:18.000Z
26.14,탑,애니비아,Anivia,34,15,70,10,0,A,False,False,647,1.51,2.48,54.10,51.45,6.81,2026-07-23T07:26:20.000Z
26.14,탑,럼블,Rumble,68,16,71,7,0,A,False,False,1347,3.15,6.05,49.29,51.39,-1.10,2026-07-23T07:26:19.000Z
26.14,탑,뽀삐,Poppy,78,17,74,9,0,A,False,False,485,1.13,21.42,52.78,51.30,3.68,2026-07-23T07:26:19.000Z
26.14,탑,카밀,Camille,164,18,81,10,0,A,False,False,513,1.20,52.40,55.17,51.12,6.87,2026-07-23T07:26:18.000Z
26.14,탑,티모,Teemo,17,19,82,-11,0,A,False,False,1063,2.48,3.25,52.40,51.09,7.08,2026-07-23T07:26:19.000Z
26.14,탑,트린다미어,Tryndamere,23,20,84,13,0,A,False,False,840,1.96,1.43,53.21,51.03,7.12,2026-07-23T07:26:19.000Z
26.14,탑,아칼리,Akali,84,21,85,16,0,A,False,False,989,2.31,17.20,49.65,51.01,0.05,2026-07-23T07:26:19.000Z
26.14,탑,요릭,Yorick,83,22,86,-4,0,A,False,False,1425,3.33,5.03,49.19,50.90,-1.51,2026-07-23T07:26:19.000Z
26.14,탑,야스오,Yasuo,157,23,88,-11,0,A,False,False,1434,3.35,10.76,49.37,50.81,-0.88,2026-07-23T07:26:19.000Z
26.14,탑,판테온,Pantheon,80,24,93,-2,0,A,False,False,1201,2.81,2.27,52.29,50.75,7.51,2026-07-23T07:26:20.000Z
26.14,탑,나르,Gnar,150,25,95,-11,0,B,False,False,2417,5.65,3.51,48.28,50.61,-7.85,2026-07-23T07:26:20.000Z
26.14,탑,아트록스,Aatrox,266,26,100,1,0,B,False,False,2509,5.86,2.73,48.23,50.48,-8.39,2026-07-23T07:26:20.000Z
26.14,탑,카시오페아,Cassiopeia,69,27,104,16,0,B,False,False,431,1.01,3.77,53.13,50.40,3.55,2026-07-23T07:26:20.000Z
26.14,탑,퀸,Quinn,133,28,105,13,0,B,False,False,310,0.72,0.21,57.42,50.37,5.65,2026-07-23T07:26:20.000Z
26.14,탑,워윅,Warwick,19,29,110,-8,0,B,False,False,689,1.61,0.40,53.56,50.20,6.34,2026-07-23T07:26:19.000Z
26.14,탑,문도 박사,Dr. Mundo,36,30,113,-13,0,B,False,False,2710,6.33,1.56,48.19,50.14,-9.20,2026-07-23T07:26:19.000Z
26.14,탑,클레드,Kled,240,31,121,9,0,B,False,False,786,1.84,0.35,50.64,49.81,1.86,2026-07-23T07:26:20.000Z
26.14,탑,사이온,Sion,14,32,128,12,0,B,False,False,1875,4.38,1.13,48.80,49.66,-3.64,2026-07-23T07:26:20.000Z
